项目名,发布人,发布时间,项目状态,详情,抓取时间
设计/平面设计,拉勾网,2017-03-02 15:08:05,已完成,"一、项目描述：

活动专题设计，PC + h5适配 + 3-4个banner

二、可参考产品：


三、人员要求：

1、视觉设计水平佳，时间灵活，出活快；
2、最好是能长期合作，工作室或者外包团队为佳",2018-08-27 21:40:25.931990
设计/UI设计,中德商汇（深圳）咨询有限公司,2017-04-14 10:14:49,已完成,"项目需求：
现需设计一个企业官网网站，用于面向国际客户展示公司业务。
要求中英文两个版本（文案不同），移动端和PC端适应。网站风格符合欧美客户审美。",2018-08-27 21:40:25.959462
设计/其他设计,北京小问文化传媒有限公司,2017-03-02 17:11:41,已完成,"一、项目描述：
视频剪辑、3-5分钟

二、主要功能点：
素材我们会提供，只需要基础的剪辑就可以

三、可参考产品：
http://alicdn.lilslb.com/20170226_0729f1595d52b46d377079d3916b78d6.mp4

四、人员要求：
1、能独立完成日常设计剪辑任务
2、精通AE、PR、PS等各种软件；
3、有深厚的美术功底及良好的设计感觉；有独立完成的设计作品；
4、良好的沟通能力和契约精神。",2018-08-27 21:40:25.972074
市场/运营/APP推广,登登动媒科技（北京）有限公司,2017-02-08 20:08:02,已完成,"一、项目描述
“这一刻”是一款即时拍照分享APP，前期主要面向人群是休闲娱乐以及旅游人群
 我们需要您针对我们的产品，制定市场运营的方向、方法，并实操，希望您告诉我们您有信心达到的效果
二、主要功能点
“这一刻”的主要特点是：
 1）即拍即传——拍完即上传，只能第一时间分享眼前的内容；
 2）无限存储空间——对于公开分享的照片提供无限存储；
 3）结构化图片数据——所有照片会按照时间、城市、地点、时间等多重属性结构化存储，
 4）照片打赏——如果用户把某个地点或商家拍摄得很好，还可能获得赏金
三、可参考产品
类似产品有
 1）马蜂窝旗下的嗡嗡
 2）墨迹天气的时景
 3）面包旅行
四、人员要求
 1）丰富的市场运营经验，有成功案例
 2）思路宽资源广，不拘泥于买量等已经低效的传统方式
 3）了解了我们的产品并对之有兴趣，毕竟再厉害的大牛面对一点没兴趣的产品也会灵感枯竭
 4）我们抱着寻找合作伙伴的诚意，期待啦",2018-08-27 21:40:25.983782
开发/后端开发,深圳市百雅特科技有限公司,2017-02-14 15:45:41,已完成,"项目描述：
根据银行对账单中的交易数据（包含对方户名、交易用途、交易备注等信息）对该比交易对应的会计科目进行预测。

达成目标：
* 选择适合的项目应用场景classification algorithm
* 基于TensorFlow或其他成熟开源的框架实现Classifier
* 对学习数据进行合理的预处理，以提高学习质量（学习数据由我方提供）
* 经过训练后的预测准确率不低于75%（最终的准确率越高我方支付的开发费用越多）

人员要求：
熟悉机器学习，深度神经网络。活跃于开源社区，了解机器学习领域最新动态，有实际项目经验者优先。",2018-08-27 21:40:26.017524
设计/UI设计,北京弘谷科技有限公司,2017-02-19 05:59:06,已完成,"项目需求：

庄里街是一个工匠与雇主之间的信息交流平台，本项目原型设计已经完善，设计师要根据原型设计出简单大气，根据工匠特性设计出适合工匠与雇主app UI图。",2018-08-27 21:40:26.043879
开发/H5开发,夢想網絡,2017-02-17 12:02:18,已完成,"水果骰寶小遊戲

配合前工

完成前後台開發

詳細查看需求文檔

玩家下注後，只要一顆骰子出現該下注水果，
就可獲得２倍賠率；２顆骰子出現該水果，可獲得３倍賠率；３顆骰子出現該水果，可獲得 3 倍賠率。",2018-08-27 21:40:26.059784
设计/UI设计,bk,2017-02-20 17:40:06,已完成,"项目目标：
1.打造面向未成年人的普法关爱平台，集中普法课程和志愿者讲师信息；组织普法知识宣传和竞赛活动；破解计划实施后新的工作瓶颈，将校园普法工作由规范化、精细化、体系化向碎片化、常态化拓展。
2.积极通过信息化载体，创新开展涉罪未成年人的帮教关爱工作，并为刑事执行和民行未成年检察工作开辟通道，展开试点。
３.建立涉罪未成年人数据库和未成年人（青少年）普法需求数据库，跟踪关爱教育引导。

详细需求沟通
设计内容：
1.app的iCON
2.启动图片一个
3.app的UI大概20页内

需求大部分已经清楚，但细节有些不清楚，希望设计过程中能帮忙完善产品细节，设计风格最好能使用安卓的Material Design，符合安卓的交互体验。
提供半个月的质保期，有耐心能帮助修改UI内容，长期项目若合作愉快可以长期合作。",2018-08-27 21:40:26.066320
市场/运营/文案写作,云水缘云南过桥米线,2017-01-24 00:14:45,已完成,1，以故事的方式宣传米线店，2，字数在300字左右，这样好传播，3，可以朋友圈转发就可以，不用搜集顾客资料，不用与顾客互动！4，可以适度的借鉴，夸张。,2018-08-27 21:40:26.070208
开发/前端开发,唯衣（上海）网络科技有限公司,2017-01-20 18:33:07,已完成,"项目需求

优惠券设置：将优惠券设置为用户分享后才可以领取
应用场景：客户下单付款后，在公众号内推送优惠券领券信息
要求：优惠券可以生成为二维码

用户领券流程：
用户扫优惠券二维码或点击优惠券链接-提示分享给朋友后领红包-分享后即可点开分享的页面领取优惠券",2018-08-27 21:40:26.097545
设计/动画设计,深圳市三国鼎立技术有限公司,2017-02-02 23:40:07,已完成,"项目描述：
提供三维原文件，
要求制作三维动画广告，需要提供创意是，时长30秒，
长期需求，大制内容类似以下链接：
http://v.youku.com/v_show/id_XODY0MDk1NzI4.html",2018-08-27 21:40:26.109557
设计/其他设计,北京长智科技有限公司,2017-02-04 10:30:36,已完成,"一、项目描述：

经验分享类网站，旨在帮助用户解决工作和生活中遇到的一些具体的问题。
解决过某个问题的人来分享经验，遇到此问题的人查看经验，可打赏可付费。
帮助用户解决问题的同时，也帮助经验分享的人实现内容变现和品牌塑造。

二、主要功能点：

首页（文章推荐）、列表页（分类、搜索、标签）、内容页、用户中心、文章发布页、发布成功页

已有demo: http://qj.xxdafa.com

三、可参考产品：

百度经验： jingyan.baidu.com 


四、人员要求：

1、有网页/ui 设计经验
2、有VI设计经验
3、最好在北京，可当面沟通
4、良好的沟通能力和契约精神。",2018-08-27 21:40:26.114066
开发/APP开发,油梨科技,2017-02-05 15:06:34,已完成,"一、项目描述&amp;参考作品
该APP是一款工具型（手游礼包领取）APP，我们已经开发出了android版的APP（下载链接：http://shouji.baidu.com/software/10798609.html），由于负责android开发的同学没有时间继续开发，所以过来请大神帮忙上线新功能

二、需要开发的模块
内容资讯展示（后端接口已准备好）
积分墙sdk集成

三、开发周期&amp;预算等
开发周期希望是1周左右，预算1000元。",2018-08-27 21:40:26.132645
开发/前端开发,强适信息科技,2017-02-07 09:40:08,已完成,"一、项目描述：

养生会所的微信公众号，消费者、技师、前台、会所经理、会所老板都通过公众号进入系统。消费者可以查看和选择消费项目、服务技师和他人评价，消费完成后生成评价。消费者下单后技师可以及时看到订单并安排服务，管理自己的工单记录。会所经理对本店项目和技师进行管理，审核，并查看消费者评价和营业报表。会所老板查看本店服务评价和营业报表。以上几个角色都通过微信公众号进入并使用此系统。

二、主要功能点：

消费者浏览、选择、评价、支付。技师响应、管理工单、查看评价、修改资料。经理管理审核项目、技师，查看评价、报表。老板查看评价、报表。

三、可参考产品：

微信公众号：独特沙龙 

四、人员要求：

1、有丰富的移动前端开发经验；
2、工作效率高，能在短时间内交付好；
3、良好的沟通能力，与我们的UI和后端做好沟通，良好的契约精神。",2018-08-27 21:40:26.164123
设计/平面设计,杭州帕特诺尔宠物有限公司,2017-01-16 11:56:17,已完成,"项目需求：
公司有七款产品：四款狗粮，三款猫粮产品。
需要制作产品介绍画册，素材我方可以提供，一共大概15页左右

人员要求：
要求设计制作时间快，设计风格时尚大气，偏欧美风格，欢迎有实力基础扎实的前来接单！",2018-08-27 21:40:26.189846
开发/APP开发,郑州阳凯科技有限公司,2017-01-16 19:06:08,已完成,"根据提供的api文档以及安卓客户端作为参考，开发对应的IOS客户端软件
具体要求：
1：功能效果参考安卓客户端，安卓客户端的下载地址http://www.youhubst.com/shiguche.apk
2：所有的功能页面为html页面，需要封装IOS壳即可。
3：具体接口文档和开发资源中标后提供。
4：要求2周内完成开发，另2周内完成测试上线。",2018-08-27 21:40:26.199230
设计/UI设计,杭州光年,2017-01-17 17:29:08,已完成,"物品清单小程序
一、项目描述：
一个基于微信好友关系链之间的、物品信息共享的工具。内容范围为物品的图文分享，用户可以上传图文，生成物品卡片，物品卡片组成清单。功能特点为协作，用户A创建清单，如分享给用户B，则B可以参与编辑，向该清单中添加物品和评论。
二、主要功能点：
创建清单；创建物品；分享清单；参与清单协作
三、可参考产品：
豆瓣东西，豆列；Pinterest boards

人员要求：
优先考虑杭州本地设计师",2018-08-27 21:40:26.207701
开发/Web网站开发,AITA,2017-01-18 09:38:00,已完成,"我们需要部署一个简单的php网站到阿里云。
前段是php后端是python，数据库是mysql。网站已经完成需要帮助将网站部署到虚拟机",2018-08-27 21:40:26.229221
设计/平面设计,上海莳季文化传播有限公司,2017-01-18 15:27:40,已完成,"一、项目描述：
请为本公司的一款养生产品设计logo，并完成配套VI设计。

二、主要功能：
产品为野生苏木，可泡茶，有活血等特殊功效，具体信息我方会提供。

三、设计风格：
突出苏木的特点，简洁、易懂、大气，风格不限。

四、人员要求：
具有丰富的logo和VI设计经验的专家，并在春节前有充足的时间。",2018-08-27 21:40:26.258262
设计/UI设计,云禾,2016-12-09 13:18:13,已完成,"需要完全体现原型意图

流畅和用户交互

大气，简约，美观

人员要求：

1、有APP产品的设计开发经验；
2、良好的沟通能力和契约精神。",2018-08-27 21:40:26.299445
设计/平面设计,北京维巴克商贸有限责任公司,2016-12-11 21:45:26,已完成,"设计桶装爆米花包装，包括3-4款口味包装。
要求：
1.产品整体风格一致，视觉冲击强，创新，美
2.后续其他系列产品，可持续使用该风格
3.欧美风，插画，卡通等风格都可以",2018-08-27 21:40:26.319071
开发/APP开发,中科软科技股份有限公司,2016-12-13 16:10:39,已完成,"Android原生系统apk安装后右上角Badge显示数字
一、项目名称
Android原生系统apk安装后右上角Badge显示数字
二、所需功能
1. 针对华为、HTC、OPPO、vivo、联想主流手机品牌实现apk安装后右上角Badge显示数字
三、人员要求
1.熟悉安卓原生系统和国内各手机厂商封装以后的安卓系统
2.研发人员最好在北京",2018-08-27 21:40:26.322713
开发/H5开发,北京拉勾网络技术有限公司,2016-12-12 15:10:07,已完成,"项目描述：
拉勾之夜H5页面开发，设计稿预计周四可以交付

项目需求：
可以参考：http://up.qq.com/2015/imagination/

人员要求：
应用过createjs、白鹭引擎等游戏框架开发过微信H5的优先",2018-08-27 21:40:26.329475
设计/平面设计,微势（厦门）供应链管理有限公司,2017-01-20 18:07:28,已完成,"汇鲸物流科技公司LOGO及企业VI系统设计

1、汇鲸，意即汇聚最专业的物流与供应链行家。“汇”即“汇聚、汇集”；“鲸”取“逆戟鲸（虎鲸）”之意，其为最聪明的海洋动物之一，海豚科，极具灵性；
2、品牌形象：极简、年轻、灵动
3、企业愿景：供应链有价值，以组织再造及技术革新让中小企业物流更简单，让物流行家从业更自由
4、产品：一款基于PC端、APP、微信服务号/小程序的航运物流企业级产品。帮助B端用户通过上述渠道，实现匹配优质物流行家、找到最优供应链解决方案及雇佣项目经理等需求。
5、使用场景：企业日常物流咨询、下单、托管；物流行家兼职、全职提供服务；
6、目标用户：中小企业主或物流、采购决策人；入驻平台的物流行家；物流与供应链供应商
7、资料参考：母公司微势物流官网（官网左上角有微势物流LOGO可参考） http://www.weishi56.com/；logo范例可参照大鲲logo、聚舱网logo、网易考拉海购logo等；其它设计师所需的参考资料；
8、设计需求：①一组汇鲸物流科技形象LOGO，母公司主体色为绿色，务必尽量保持一致或具有一定延续性，因可能应用于航运物流基础设施等的实际喷绘，logo图案务必简洁：文字（汇鲸）+图形LOGO，包含ICON、各种场景下的变形体及应用；②根据已设计之LOGO为企业制作一套企业VI，适用但不限于名片、工作证、PPT模版、手提袋／环保袋、笔记本、纸杯、便签、信封信纸、档案袋、电脑墙纸、文件夹、文化衫等。（以上①②需求可分开单独报价，其中①比较急且重要，可仅针对①提供服务）",2018-08-27 21:40:26.347168
开发/Web网站开发,普达行投资管理（北京）有限公司,2016-12-13 16:40:02,已完成,"项目描述：
投资类公司的web网站开发，已有域名，需要开发者完成企业网站设计、开发

项目需求：
主要功能是公司简介、新闻资讯、联系方式
后台需要留有平时更新、发布新闻资讯和消息的接口

参考网站风格示例：https://www.blackstone.com/

人员要求：
1、有相关行业企业官网建设经验",2018-08-27 21:40:26.358182
开发/H5开发,没有,2016-12-14 10:29:02,已完成,"项目描述：
找人帮做一个新年贺卡的demo，已有设计稿，很简单的几张H5页面，不含动态效果

项目需求：
1.打开页面
2.选择贺卡模板
3.输入文字
4.上传1张图片（需要裁减到指定尺寸）
5.生成贺卡图片
6.将贺卡图保存到手机",2018-08-27 21:40:26.390591
产品/产品经理,MH,2016-12-15 23:23:56,已完成,"一、背景
我司已搭建了自主品牌的在线教育平台（MOOC及SPOC），需要在此平台基础上为客户定制开发专属的SPOC平台，根据客户需要，规划设计产品原型界面，需要评估平台现有模块是否满足客户需求，对比竞品，写出需求文档，并给出分阶段的工作量预估。

二、主要功能点
客户需求摘要
A、客户的专属平台网站界面（PC）
B、教学分析工具……等；
C、可视化公式编辑……等；
（具体详谈）

三、人员要求：
1、有MOOC、SPOC在线教育平台产品设计的经验。
2、良好的沟通能力和契约精神。
3、有在线教育、教学管理软件产品开发经验优先。

四、交付物
需求文档、产品原型",2018-08-27 21:40:26.394035
开发/微信开发,北京史河信息技术有限公司,2016-12-16 12:52:42,已完成,"项目描述：
基于微信服务号，做一个校园活动（讲座、课程、晚会）的直播平台。其中推流端暂时由学校电视台负责提供，我们目前只需要做拉流和前端播放，以及用户的评论、点赞、收藏、转发等互动部分。

项目需求：
1）拉流和前端播放可以基于网易云直播或阿里云直播的成熟SDK来开发。网易云直播那边，他们提供的sdk非常丰富，demo源码都有，而且他们的技术提供7*24小时全程技术支持，按网易那边的说法，只要有过开发经验（不需要有直播开发经验），一般一周就可以调通；
2）对前端样式要求不是很高，但是对视频播放的延迟、卡顿、流畅度要求较高；对于评论回复、点赞的流畅度要求很高。

可参照产品：天眼通直播。

人员要求：
1）开发语言不限，最好是一位全栈工程师，同时完成前后端开发，毕竟需要和网易技术、校电视台沟通，人数太多不便于沟通。如果没有全栈，一位前端和一位后端也可以。
2）工程师必须在北京，当面沟通项目需求，并保证1-2周的全职开发时间。",2018-08-27 21:40:26.418629
开发/后端开发,深圳市一满乐科技有限公司,2016-12-05 17:03:13,已完成,"1.可以实时或者实时爬取美团外卖，百度外卖，饿了么外卖移动端的所有公开数据，例如销量，菜品等数据，达到可见即可爬的效果；
2.可以应对这三大平台的反爬虫策略；
3.保证爬虫引擎的稳定性以及可延展性；
4.语言最好是java或者python，数据库最好是mysql;",2018-08-27 21:40:26.427802
设计/平面设计,北京拉勾网络技术有限公司,2016-12-05 17:37:58,已完成,"1、数据表美化
2、设计插画
3、设计风格要与拉勾的品牌调性相符
4、项目周期一周",2018-08-27 21:40:26.459852
设计/平面设计,新氧,2016-12-06 10:13:04,已完成,"行业趣味白皮书长图
要求：
1.有趣，设计感强，有自我设计想法。 
2.具备手绘能绘制卡通人物。有白皮书设计经验者优先。",2018-08-27 21:40:26.481654
开发/前端开发,江苏火米互动科技有限公司,2016-12-07 11:33:52,已完成,"项目描述：
火米互动（www.huomi360.com）H5手机网站开发，需要结合Web站重新规划设计，完成开发

项目功能：
功能需要专家参照Web站梳理设计后完成开发
特别要关注移动端体验
预算、周期可具体沟通后决定

人员要求：
希望有经验的开发者先提供案例，可以远程开发",2018-08-27 21:40:26.497131
开发/后端开发,深圳市一满乐科技有限公司,2016-12-06 17:12:53,已完成,"项目描述：
 搭建一个线下连锁商户的后台管理系统，需要专家帮助完成纯后台开发（不含管理台的页面）

项目需求：
 1.有一整套独立的账号管理体系，有管理员账号，分店账号，每个账号可设置不同的管理权限；
 2.通过后台管理可以查看各个店面的销量等信息；
 3.每个店可以通过销量，活动，热度进行排序和筛选；
 4.总账号上的数据是所有分店信息的总和；
 5.其他细节功能点我们会出一个演示demo的；

技术要求：
 后台使用Java主流框架，数据库Mysql

人员要求：
 1.有相关产品开发经验
 2.可以远程开发
 3.项目计划12月底上线，专家时间充裕",2018-08-27 21:40:26.524911
市场/运营/品牌定位,上海白贝蝶信息科技有限公司,2016-12-07 22:37:15,已完成,"提供一个互联网创新产品企业的品牌线上策划方案,对品牌进行梳理定位和包装,同时能做出推广计划，在现阶段短期内将品牌尽快曝光。

产品为：kosiim智能光学护肤美容仪
详情请见：http://www.kosiim.com/

内容包括：品牌定位-slogan-推广策略
品牌部分的内容需要充实完整，比如品牌梳理，用户精准定位，用户行为分析，内容包装，slogan，storyline 等，包含一般品牌包装规划的必要内容。
上海地区的专家优先。",2018-08-27 21:40:26.564424
开发/H5开发,北京拉勾网络技术有限公司,2016-12-08 17:01:09,已完成,"微信的传播H5

可参考产品：
http://activity.lagou.com/activity/dist/winterCapital/index.html

人员要求：
1、有H5的开发经验；
2、精通HTML5、jQuery、Javascript、CSS3技术。
3、良好的沟通能力和契约精神。",2018-08-27 21:40:26.568565
开发/Web网站开发,DOFUN,2016-12-08 11:29:15,已完成,"一、项目描述：
移动广告web平台，已经完成初步视觉设计，需要根据设计内容完成网站开发。


三、可参考产品：
www.inmobi.com www.ironsc.com www.yeahmobi.com

四、人员要求：
1、有大型网站开发经验，可实现相关动画效果和后台部署等，保障除视觉设计以外的其他相关的网站工作全部执行，并顺利上线；
2、精通Java，熟悉jQuery、Javascript、Maven、Redis等技术，熟练使用MySQL等关系型数据库等；
3、良好的沟通能力和契约精神。
4、为便于沟通，优先考虑北京团队。

五、具体价格：评估工作量后确定 
六、项目周期：尽快开始，开发周期2星期",2018-08-27 21:40:26.577999
市场/运营/文案写作,梵艺术文化创意有限公司,2016-12-08 23:24:02,已完成,"项目描述：油画，浮雕等艺术定制项目的众筹文案，发起人为知名美院毕业的新锐艺术家，主要以画，人，家的关系为切入点，阐述好现代人家中的文化缺失的困境
和画在人和家中起到的沟通桥梁作用
主要功能点：制作众筹视频，项目路演等推广，

可参考对象：
开始众筹的艺术手作体验项目 http://www.kaistart.com/project/detail/id/41C2C37E2AEEB4A4E050190AFD014A8D

陈丹青谈木心美术馆
http://v.youku.com/v_show/id_XMTgzMzI2ODcxNg==.html?from=s1.8-1-1.2&amp;spm=a2h0k.8191407.0.0

人员要求：有丰富文案策划经验
 良好的沟通能力和策划能力",2018-08-27 21:40:26.582803
设计/UI设计,北京中道国尚太极文化发展有限公司,2016-12-08 04:43:21,已完成,"为一款小程序设计UI，共25-30个页面。用SKETCH高保真的原型图很保真，算是七成品的UI了，你只需修修改改，完善一下就好。

详情可见：http://www.wetaiji.net/


1. 符合微信小程序的设计规范
2. 完善提供给您的已有设计
3. 提供修改建议并实施，毕竟您比我们的设计师专业
4. 切图
5. 搞得漂亮",2018-08-27 21:40:26.598021
开发/H5开发,云禾,2016-12-09 13:12:52,已完成,"通过微信浏览器访问产品的H5网页，样式与设计需要保持高度一致，需要能够兼容多种机型的显示。

切换，体验流畅。",2018-08-27 21:40:26.625626
开发/Web网站开发,Medomino,2016-11-25 15:41:51,已完成,"项目目标为建立一个面向已缴费企业客户的数据展示平台
展示所需数据及数据关系由甲方提供，为MySQL
需使用Cytoscape.js，Javascript, PHP, Python,可能用到H5
展示内容为数据分析结果，包括二维象限图，人际关系图，蜘蛛图等，约5-7页面，已有图表样式

人员要求：
1、有数据类web页面的开发经验，不能只是静态文本或图片页面；
2、熟练使用Javascript，PHP，Python,，了解mysql，如有【Cytoscape.js开发经验优先】；
3、良好的沟通能力和契约精神。
4、良好的英语阅读能力（阅读Cytoscape.js开发文档）
5、优先考虑北京地区开发者",2018-08-27 21:40:26.656453
设计/UI设计,登登动媒科技（北京）有限公司,2016-11-28 04:40:30,已完成,"照片类APPUI设计
1、功能、交互等已完成，只需UI设计
2、扁平化，简约风格，
3、年内完成",2018-08-27 21:40:26.697710
开发/Web网站开发,北京朗朗文化传播有限公司,2016-11-28 11:26:26,已完成,"一、项目描述：
文化传播公司web网站开发，已有PSD设计稿
二、主要功能点：
展示公司情况与基本信息
主要为列表+详情的展示模式
三、可参考产品：
奥美：www.ogilvy.com.cn
朗涛：landor.com
四、人员要求：
要求【北京】的团队或个人，方便沟通
1、熟悉公司网站开发，经验丰富；
2、精通Java或PHP，熟悉jQuery、Javascript、Maven、Redis等技术，熟练使用MySQL等关系型数据库等；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:26.701399
开发/APP开发,杭州去打球文化创意有限公司,2016-11-28 15:31:03,已完成,"一、项目描述：

纹身交流平台的App开发，iOS端。主要功能是图片浏览，搜索，和商家沟通，支付订金。

二、主要功能点：

手机注册，微信，QQ登录，IM功能，图片上传功能，流水式显示，图片搜索功能，按定位搜索附近的商家功能，个人资料功能。

三、可参考产品：

Pinterest （有时候要翻墙） https://www.pinterest.com/
微博的私信功能

四、人员要求：

1、有App产品的开发经验；
2、精通Java或PHP，熟悉jQuery、Javascript、Maven、Redis等技术，熟练使用MySQL等关系型数据库等；
3、良好的沟通能力和契约精神。",2018-08-27 21:40:26.721921
设计/平面设计,敦诗悦礼,2016-11-30 10:06:42,已完成,"公司名为：敦诗悦礼 生活服务类电商平台。
 用途：LOGO设计应用到公司形象，公司装饰，礼品，视频等作品
要求：平台为城市生活类，注重文化传播，又不失现代气息的内容平台。要求设计符合公司的定位。便于记忆、传播、亲切。作品信息中说明投稿作品名称，并有创作理念。
稿件为矢量图或者不小于300dpi可用于印刷制作的作品源文件，注明标准比例，标准色，字体和尺寸。买断版权。",2018-08-27 21:40:26.726033
设计/平面设计,北京唐谷慧聚营销咨询有限公司,2016-11-30 10:36:41,已完成,"风格倾向轻巧，简洁，现代感。最好赋予一些亮点；
主体颜色为黑白黄，其次有绿灰可考虑选择加入（有具体颜色值）；
内容可能涉及：平台名、logo、slogan、二维码、员工姓名、企业地址、电话、邮箱等；
有一些认为不错的名片设计可提供参考，但主要希望设计师根据平台定位进行原创；
如需要，可提供上一版名片（不作为设计参考）；
如有印刷经验，希望能建议印刷纸张选择。",2018-08-27 21:40:26.736496
市场/运营/文案写作,猎豹移动,2016-11-17 17:11:08,已完成,"一、人员要求：
1、文笔好、有审美、懂创意、易沟通
2、要有较为充裕的时间来进行写作，每周1-3篇
3、内容贴近热点，可以参考“猎豹移动”微信号，行业热点类内容",2018-08-27 21:40:26.811826
市场/运营/内容编辑,鹰闻（上海）网络科技有限公司,2016-11-17 10:38:32,已完成,"男性电商项目文案编辑，有一定文字功底，最好是在原有工作中从事编辑工作，我们的产品优点类似质男XY这样的公众号。
目前初定的节奏是每周产出一篇编辑或原创稿件。
上海本地的撰稿人优先。",2018-08-27 21:40:26.815683
开发/前端开发,深圳至宝网络科技有限公司,2016-11-17 08:54:42,已完成,"一、项目概况。
 本项目为SaaS管理后台的前端界面开发，一共有两个管理后台：企业管理后台和运营管理后台。已经有UI设计稿，任务需要将UI设计稿完整还原重构为前端页面，并实现前后端的数据交互。

二、主要任务
 1、将UI设计稿完整还原重构为前端页面；
 2、实现前后端的数据交互

三、管理后台的主要功能点和页面数量
 1、典型管理后台的页面举例：用户管理、模板管理、呈现数据报表（无图）、通知消息等。布局为左右结构，左侧为菜单，右侧为功能操作区
 2、两个后台的页面数量总共有77个。

四、人员要求
 1、web布局排版技能熟练；
 2、对大量数据前后端交互有丰富经验，熟悉angular、jquery或Vue
 3、主动沟通积极性强，愿意倾听
 4、工作效率高，手快
 5、优先考虑深圳的专家

五、支持
 1、专人对接，即时响应
 2、提供前后台的数据通信接口文档",2018-08-27 21:40:26.828475
设计/UI设计,北京点动科技有限公司,2016-11-17 18:39:46,已完成,设计一个针对团体活动报名的logo，产品名字为“好聚友”，我自己想用的元素是萤火虫，当然你也可以用其它你觉得好的创意设计，要求简单达意。,2018-08-27 21:40:26.874778
市场/运营/内容运营,厦门金海社区居委会,2016-11-18 09:42:51,已完成,"一、人员要求：
1、文笔好、有审美、懂创意、易沟通
2、内容运营周期为5-7天，需要提供文案2-3篇
3、文笔贴近原有公众号风格，文案内容及素材需要紧贴时事热点
4、内容参考可以查看“金海社区”微信号",2018-08-27 21:40:26.880842
产品/产品经理,成都多科星电子有限公司,2016-11-20 10:37:42,已完成,"背景：
我公司在开发一系列智能传感器，需要制作一个Web形式的数据查看平台。由于我公司主打硬件，目前只清楚我们最终的产品想做成什么样子，但不清楚软件上如何实现。希望寻找专业人士帮助我们完善需求书，细化对平台的技术要求，必要时做出原型设计，以便我们可以拿到该需求书交给软件外包团队，他们能清楚的知道应该做什么。

一、项目描述
这是一个用于查看多种传感器上传的数据的平台，以一个网页的形式呈现。类似于现有的物联网数据平台。有2类传感器需要上传数据：
 状态类传感器：显示多种状态，例如开关（两种状态：开和关）
 数据类传感器：会定时传输数据。当数据超过某一个阈值时，需要启动报警
应用场景：应用于电力行业的一个设备远程监测系统。不同工业用户订阅该平台，并将其现有传感器接入。该平台上实现集中监控，工业用户无需再配备监控人员。
最终该平台可以在未连入互联网的局域网中部署，也可在互联网上部署（例如在阿里云上，通过一个公开网站的可以登录），并可以查看多类数据。网站有多个不同权限的用户。
此次发布的项目仅为本项目的第一阶段，即设计一个在局域网中可运行的网站，针对单一用户登录，设计针对一种数据类传感器（密度传感器）的监测查看平台。但在设计开发时，应考虑到整个项目的最终形态，为后续拓展和开发做好准备。

二、主要功能点：
- 监测平台通过TCP端口接收物联网中传感器发送的数据，并保存数据。
- 用户可添加新的传感器，并接收其发来的数据
- 用户可查看一个站点或一个区域内的传感器是否有数据越限的情况
- 用户可查看他所添加的传感器所有上传数据，可查询历史数据，并以Excel表或CSV的格式导出数据。

三、可参考产品：
tlink.io;
yeelink
四、人员要求：
1、有企业级软件产品设计的经验。
2、良好的沟通能力和契约精神。
3、有物联网产品开发经验的优先
五、交付物
需求文档、产品原型",2018-08-27 21:40:26.890328
开发/APP开发,个人需求,2016-11-20 15:25:22,已完成,"一、项目描述：
美妆产品数据库的ios App全栈开发，有原型及UI
需使用swift语言，并提供详细的每个模块的开发文档，最好能写清楚整个开发过程。
无需上架，可使用私有api，只需在测试机上能运行并实现功能即可。
二、主要功能点：
产品数据库搭建，二维码扫描输入产品信息，产品列表，产品评分，每个用户的产品偏好，关注好友，通过好友的使用偏好智能推荐产品信息。
三、可参考产品：
凹凹啦美妆

四、人员要求：
1.熟练掌握swift语言开发
2.有全栈开发经验，负责整个app开发
3.良好的沟通和文档编写能力
4.坐标上海，可以提供面对面的编程讲解",2018-08-27 21:40:26.934937
市场/运营/线上活动策划/执行,杭州鼎盛房产有限责任公司,2016-11-21 10:13:34,已完成,"需要策划一个方案，并指导工作人员执行，完成活动和增粉目标。
一：我们有自己的微信平台，但是因为本人以及团队成员都没有新媒体的经验，故无从下手
二：目前微信公众号内，粉丝有2000人左右，我们的预期目标是将粉丝提升至10000左右
三：我们的活动目的是打响市场的知名度
四：在杭州本地优先",2018-08-27 21:40:26.956253
